text,stage,установление_контакта,выявление_потребностей,презентация,работа_с_возражениями,закрытие,method,pressure,result,property_type,objection,manager_style,client_mood,details,technique,client_type,params,outcome
"Менеджер: Добрый день! Рады вас видеть. Как у вас настроение сегодня?  
Клиент: Здравствуй, спасибо! В целом нормально, немного волнительно насчет жилья.  

Менеджер: Понимаю. Расскажите, что именно вам важно в новом жилье?  
Клиент: Главное — это спокойный район и близость к магазину, чтобы не далеко было ходить.

Менеджер: Отлично слышать. А сколько комнат вы планируете искать?  
Клиент: Две комнаты будет достаточно для меня и моей дочери.

Менеджер: Хорошо, а какой бюджет вы рассматриваете для покупки?   
Клиент: У меня ипотека готова на 4 миллиона рублей.

Менеджер: Прекрасно! Есть ли какие-то особенности или предпочтения по расположению квартиры?  
Клиент: Да, мне бы хотелось поблизости парк — часто гуляю с собакой.

Менеджер: Завидую вашей активности! Мы можем предложить несколько вариантов в районе вашего бюджета с парками рядом. Когда вы хотите начать просмотры квартир?  
Клиент:** Хм... может быть на следующей неделе?

Менеджер:** Идеально подходит время для просмотра! Почему бы не назначить встречи на вторник после обеда ?",Выявление потребностей,3,5,2,2,1,,,,,,,,,СПИН-вопросы,пенсионер,ипотека готова,
"Менеджер: Здравствуйте! Мы обсудили все детали вашего нового жилья. Как вы относитесь к покупке дополнительной кладовки за 150 тысяч? Это может быть полезно для хранения вещей.

Клиент: Здравствуйте! Кладовка, конечно, звучит хорошо, но не уверен, что она мне нужна. Есть ли другие варианты?

Менеджер: Да, мы можем предложить вам паркоместо за 200 тысяч. Оно тоже очень удобно и поднимет вашу квартиру в цене при продаже в будущем.

Клиент: Паркоместо интересно… Но у меня есть вопрос – какова вероятность его сдачи в аренду?

Менеджер: С учетом расположения нашего ЖК это довольно высокая вероятность — примерно 70%. Могу помочь с оформлением аренды при необходимости!

Клиент: Ого! А если я куплю и то, и другое вместе? Будет скидка?

Менеджер: Если вы приобретете оба предложения сразу, я смогу сделать вам скидку на общую стоимость до 300 тысяч вместо обычных 350. Как вам такое предложение?",Закрытие сделки,3,2,2,3,5,альтернативный выбор,мягкое подталкивание,продажа доп. услуги,,,,,,,,,
"Менеджер: Добрый день! Рады вас видеть в нашем офисе. Как у вас дела?

Клиент: Здравствуйте! Все хорошо, спасибо. Мы очень ждем начала поиска квартиры.

Менеджер: Отлично! Учитывая, что ипотека уже готова, расскажите мне, какую квартиру вы ищете? 

Клиент: Мы хотим 2-комнатную квартиру площадью около 60-70 квадратов.

Менеджер: Понятно. А где именно вам хотелось бы жить? Есть ли предпочтения по району?

Клиент: Нам нравятся районе метро ""Краснопресненская"" и ""Смоленская"". Хотелось бы рядом с парками и детскими садами.

Менеджер: Это хороший выбор для молодой семьи! Скажите, какие факторы для вас наиболее важны при выборе жилья? Например, цена или близость к работе?

Клиент: Для нас важно не только местоположение и цена – мы также хотим хорошую планировку.

Менеджер: Хорошо понимаю. Какой бюджет у вас на покупку квартиры в этих районах?

Клиент: Максимум до 15 миллионов рублей.

Менеджер: Прекрасно! В этом диапазоне есть много интересных вариантов. Когда вы хотите начать просмотр квартир?  

Клиент: Лучше всего было бы на выходных!

Менеджер (ошибка): Выходные — это замечательно... Давайте запланируем просмотры сразу же на понедельник тогда!

Клиент (пауза): На понедельник… Но ведь это рабочий день…

Мендждер (осознав ошибку): Ой! Простите за путаницу 😊 Конечно же, давайте оставим просмотры на субботу-воскресенье!

Давайте выбрали несколько объектов заранее – я подготовлю все варианты для просмотра к тому времени.
",Выявление потребностей,3,5,2,2,1,,,,,,,,,СПИН-вопросы,молодая семья,ипотека готова,
"Менеджер: Здравствуйте! Спасибо, что нашли время для общения. Как я понимаю, вы переживаете по поводу района, где расположена квартира?

Клиент: Да, район меня не устраивает. Слышал много негативного о безопасности и инфраструктуре.

Менеджер: Понимаю ваши опасения. Действительно, в некоторых частях района могут быть проблемы с безопасностью. Но хочу обратить ваше внимание на то, что именно в этом районе активно развиваются новые проекты по благоустройству.

Клиент: Это интересно, но все равно пока не вижу причин менять мнение о районе.

Менеджер: Конечно! Я тоже был бы насторожен в вашем положении. Однако согласно последним данным от местной администрации, уровень преступности снизился на 15% за последний год благодаря новым инициативам полиции и благоустроенным паркам.

Клиент: А как насчет школ и магазинов? Мне важно иметь доступ к хорошим образовательным учреждениям поблизости!

Менеджер: Отличный вопрос! В радиусе 1 километра находятся три школы с высоким рейтингом – средняя оценка всех учеников превышает 4 из 5 баллов. Также рядом открылись несколько новых супермаркетов и аптек.

Клиент: Ну да… это уже звучит лучше. Но всё-таки мне нужно больше информации об условиях жизни тут…

Менеджер: Разумеется! По статистике последних двух лет спрос на жилье здесь вырос на 20%, а значит люди предпочитают этот район благодаря улучшению условий проживания! Могу отправить вам ссылки на отзывы жителей?

Клиент: Хорошо бы посмотреть эти отзывы… Может быть это сможет изменить моё мнение окончательно!

Менеджер: Замечательно! Я пришлю вам ссылки через пару минут вместе с картами новых объектов социальной инфраструктуры этого района!

Клиент：Спасибо большое за информацию！",Работа с возражениями,2,2,3,5,3,,,,,плохой район,,,,согласие+контраргумент,,,клиент согласился
"Менеджер: Здравствуйте! Я вижу, что цена вас беспокоит. Могу я узнать, в чем именно вы видите высокую стоимость?

Клиент: Да, привет! 5 миллионов за 70 квадратов – это слишком дорого для нашего района.

Менеджер: Понимаю вашу точку зрения. Действительно, сумма может показаться высокой по сравнению с другими предложениями на рынке. Вы сравнивали эту квартиру с аналогичными вариантами?

Клиент: Да, смотрел похожие квартиры в этом районе и там цены начинаются от 4 миллионов.

Менеджер: Это важный момент! Сравнение с конкурентами всегда полезно. Однако наша квартира имеет несколько уникальных преимуществ - например, свежий ремонт и близость к метро.

Клиент: Но даже так мне все равно кажется дороговато... 

Менеджер: Вам не безразлична цена – это понятно. Возможно ли вам выделить сумму в вашем бюджете? Или есть какие-то особые условия для согласования покупки?

Клиент: Мы бы могли рассмотреть скидку хотя бы процентов на десять...

Менеджер: Спасибо за ваше предложение! Позвольте мне уточнить у собственника возможность предоставления скидки в размере десяти процентов и вернусь к вам буквально через пару минут!

Клиент: Хорошо жду вашего ответа!

(Пауза)  

Менеджер (после паузы): Отличные новости! Собственник готов пойти навстречу — можем обсудить цену со скидкой до 4 миллионам семисот тысяч рублей. Как вам такое предложение?",Работа с возражениями,2,2,3,5,3,,,,,слишком дорого,,,,перефразирование,,,просит скидку
"Менеджер: Здравствуйте! Хочу напомнить, что у нас действует акция до конца недели. У вас есть отличная возможность приобрести квартиру в новом жилом комплексе ""Солнечный"" по цене 6,5 млн рублей за 70 квадратных метров.

Клиент: Здравствуйте! Спасибо за информацию. Но я всё еще не уверена, стоит ли инвестировать именно в этот объект.

Менеджер: Понимаю ваши сомнения. Могу предложить посмотреть ещё один вариант – двухкомнатную квартиру площадью 80 квадратов за 7 млн рублей с хорошей отделкой. Она тоже имеет привлекательные условия!

Клиент: Да, мне интересна разница между этими двумя квартирами и местоположение каждого объекта.

Менеджер: Первая квартира находится рядом с парком и школами, а вторую мы можем показать на более спокойной улице с развитой инфраструктурой. Вы бы предпочли первый или второй вариант?

Клиент: Я подумаю над этим... пока не готов принять решение сейчас.

Менеджер: Понимаю ваше беспокойство! Помните, что цена может измениться после окончания акции этой неделе… Как вы думаете? 

Клиент: Честно говоря, меня это немного пугает... но я все равно хочу обдумать своё решение больше времени.",Закрытие сделки,3,2,2,3,5,альтернативный выбор,акция до конца недели,мягкий отказ,,,,,,,,,
"Менеджер: Добрый день! Рад вас видеть. Как вы сегодня себя чувствуете?  
Клиент: Здравствуйте! Спасибо, неплохо. Немного волнительно…  

Менеджер: Понимаю, это важный шаг. Какие у вас ожидания от новой квартиры?  
Клиент: Я бы хотел что-то тихое и уютное, поблизости с магазинами и медицинским учреждением.

Менеджер: Отлично, могу предложить вам несколько вариантов в пределах вашего бюджета 6-8 млн рублей. Вы предпочитаете новостройки или вторичное жилье?  
Клиент: Наверное, лучше вторичка – там уже всё обжито.

Менеджер: Хорошо! Тогда давайте рассмотрим варианты на юго-западе города. У нас есть квартира площадью 65 кв.м за 7 миллионов рублей недалеко от парка и больницы. Вам такая планировка подойдет?  
Клиент: Да, звучит интересно! А сколько этажей в доме?

Менеджер: Это девятиэтажный дом с лифтом на каждом этаже. Подходит для спокойной жизни пенсионера как раз!

Клиент: А какие документы нужны для покупки такой квартиры?   
Менеджер (слегка запутавшись): Ну... скорее всего стандартные -- паспорт покупателя... хотя подождите... может быть еще справки о доходах...

Клиент (неуверенно): Справки о доходах разве требуются пенсионерам?

Менеджер (осознавая ошибку): Ой, прошу прощения! На самом деле для пенсионеров не требуется подтверждение доходов при покупке жилья — достаточно паспорта и договора купли-продажи.

Клиент : Спасибо за уточнение! Когда можно посмотреть квартиру на месте?",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,пенсионер,бюджет 6-8 млн,
"Менеджер: Здравствуйте! Я рад, что мы сегодня обсудили вашу заявку на квартиру в центре города. Напомню, она стоит 9 миллионов рублей и имеет площадь 75 квадратных метров.

Клиент: Здравствуйте! Да, квартира мне очень понравилась. Но я слышал от вас о других потенциальных покупателях...

Менеджер: Верно, у нас есть несколько заинтересованных клиентов. Однако я уверен, что вы не хотите упустить эту возможность – такие квартиры быстро расходятся!

Клиент: Это правда... А есть ли какие-то дополнительные услуги по оформлению или ремонту?

Менеджер: Конечно! Мы можем предложить пакет услуг по ремонту под ключ всего за 500 тысяч рублей с гарантией качества на три года.

Клиент: Интересное предложение… Если я решу купить квартиру сейчас и возьму дополнительно ремонтные услуги – как это повлияет на цену?

Менеджер: Если вы примете решение сегодня до конца дня, мы сможем сделать вам скидку в размере 50 тысяч рублей на ремонтный пакет!

Клиент: Хм... Ну ладно, дайте минуту подумать…

Менеджер: Не теряйте время — такая квартира точно не простоит долго на рынке!",Закрытие сделки,3,2,2,3,5,прямое предложение,есть другие покупатели,продажа доп. услуги,,,,,,,,,
"Менеджер: Здравствуйте! Спасибо, что обратились к нам. Как могу помочь?  
Клиент: Привет! Я смотрел квартиры у вас на сайте, но цены слишком высокие для моего бюджета.  

Менеджер: Понимаю ваше беспокойство, действительно сейчас рынок недвижимости немного изменился и цены выросли. Но позвольте спросить – сколько вы планировали потратить?  
Клиент: Я рассчитывал на сумму до 5 миллионов рублей.

Менеджер: Это вполне разумно. За эти деньги можно найти интересные варианты в новостройках или вторичном жилье в хороших районах города. Однако я согласен с тем, что текущая ситуация может показаться напряженной по цене.

Клиент: Да именно так! Меня это настораживает...   
Менеджер: Вы правы; многие покупатели сталкиваются с этой проблемой сейчас. Но стоит учитывать также рост цен на недвижимость — инвестиции могут оправдать себя через несколько лет.

Клиент: Возможно… Но все равно не уверен, что хочу переплачивать за квартиру.
  
Менеджер: Ваши сомнения абсолютно понятны! Тем не менее, если рассмотреть долгосрочную перспективу и возможность роста стоимости жилья в будущем — это может быть выгодным вложением!

Клиент: Ну да… Если подойти к этому как к инвестиции - возможно оно того стоит...   

Менеджер: Именно так! И помимо этого некоторые ЖК предлагают отличные условия ипотеки со сниженной ставкой от банков-партнеров - вам тоже будет интересно узнать об этом?

Клиент : Да-да конечно... Снижение ставки звучит заманчиво!
 
Менеджер : Отлично! Давайте запланируем встречу или звонок для более детального обсуждения вариантов соответствующих вашему бюджету и нуждам?",Работа с возражениями,2,2,3,5,3,,,,,слишком дорого,,,,согласие+контраргумент,,,клиент согласился
"Менеджер: Добрый день! Рад вас видеть. Что именно привело вас к нам сегодня? 

Клиент: Здравствуйте! Я рассматриваю возможность инвестиций в недвижимость и хотел бы обсудить интересные предложения.

Менеджер: Отлично, у нас есть несколько вариантов для инвесторов. Какой бюджет вы планируете выделить на приобретение?

Клиент: Думаю о сумме около 10 миллионов рублей. Интересует ли это достаточно для вложений в квартиры или коммерческую недвижимость?

Менеджер: Да, с таким бюджетом можно рассмотреть как жилые объекты, так и небольшую коммерцию. Предпочитаете жилую недвижимость или что-то другое? 

Клиент: В основном меня интересуют квартиры — желательно с хорошей доходностью от аренды.

Менеджер: Понял вас! У нас есть варианты квартир площадью от 50 до 70 кв.м., расположенные в районах с высоким спросом на аренду. Какие районы вам наиболее интересны?

Клиент: Я предпочитаю центр города или близлежащие районы, чтобы была высокая проходимость и доступность.

Менеджер: Хорошо, как вам квартира площадью 60 кв.м. за 9 миллионов рублей недалеко от метро? Ожидаемая доходность — около 7% годовых по аренде!

Клиент: Это звучит интересно! Есть ли возможность увидеть эту квартиру уже на следующей неделе?

Менеджер: Конечно! Мы можем организовать просмотр во вторник утром или среду после обеда — какой вариант удобнее для вас?",Выявление потребностей,3,5,2,2,1,,,,,,,,,открытые вопросы,инвестор,ипотека готова,
"Менеджер: Здравствуйте! Напоминаю, что у нас есть отличное предложение по квартире в центре. Цена всего 7 миллионов рублей за 80 квадратных метров. Но акция действует только до конца недели!

Клиент: Здравствуйте! Да, я помню про это предложение. Но мне нужно время подумать.

Менеджер: Понимаю вас, но такие предложения быстро разбирают. Если вы не примете решение до воскресенья, цена может вернуться к обычным 7.5 миллионам.

Клиент: Это действительно хорошая цена, но нам с супругой надо еще обсудить все нюансы.

Менеджер: Конечно! Я могу помочь ответить на ваши вопросы прямо сейчас и сделать так, чтобы вы не упустили эту возможность!

Клиент: Убедительно звучит… Но мы всё равно хотим принять окончательное решение позже.

Менеджер: Хорошо понимаю ваше желание обдумать сделку. Просто имейте в виду — такая квартира как ваша мечта может уйти от вас очень быстро...

Клиент: Спасибо за информацию! В любом случае пока мы ещё подумаем и свяжемся с вами позже для обсуждения деталей.
",Закрытие сделки,3,2,2,3,5,искусственное ограничение,акция до конца недели,мягкий отказ,,,,,,,,,
"Менеджер: Добрый день! Как могу помочь вам сегодня?

Клиент: Здравствуйте. Я смотрел квартиру, но меня смущает район. Он кажется не очень хорошим.

Менеджер: Понимаю вашу озабоченность по поводу района. Можете рассказать подробнее, что именно вас беспокоит? 

Клиент: Ну, в этом районе много старых зданий и близко к дороге с большим движением.

Менеджер: Это важно учитывать. Давайте рассмотрим конкретные аспекты — например, инфраструктуру или безопасность района?

Клиент: Инфраструктура там действительно не лучшая, я слышал о высоком уровне преступности в округе.

Менеджер: Спасибо за ваши комментарии. Позвольте мне подтвердить информацию – у нас есть данные от местных жителей на эту тему и статистика по безопасности.

Клиент: Да это было бы полезно...

Менеджер: Исходя из последних данных нашего агентства, уровень преступности снизился на 15% за последние два года благодаря новым инициативам полиции и восстановлению общественных пространств. 

Клиент: Это интересно... Но все равно как-то настораживает эта информация про старые здания…

Менеджер: Вы правы; состояние жилья может быть проблемой для многих покупателей. Однако рядом идет активное строительство новых жилых комплексов с современными удобствами!

Клиент: А где они находятся? В пределах этого же района?

Менеджер:
Да! Новый комплекс находится всего в трех кварталах от рассматриваемой квартиры и включает паркинг и детскую площадку.

Клиент:
Хорошо… если вы так говорите... Может стоит рассмотреть этот вариант еще раз...

Менеджер:
Конечно! Давайте назначим встречу для просмотра квартиры вместе с новыми предложениями поблизости!

Клиент:
Договорились!",Работа с возражениями,2,2,3,5,3,,,,,плохой район,,,,LAER метод,,,клиент согласился
"Менеджер: Здравствуйте! Как могу помочь вам с выбором недвижимости?  
Клиент: Добрый день! Я смотрел вашу квартиру, но она требует ремонта. Это меня сильно смущает.  
Менеджер: Понимаю ваши опасения, ремонт действительно может быть затратным и времязатратным процессом. Вы могли бы подробнее рассказать о том, что именно вас беспокоит?  
Клиент: Ну, во-первых, стены в плохом состоянии — обои старые и peeling off. И не хватает современных коммуникаций на кухне...  
Менеджер: Важно услышать эти детали! Обновление интерьера всегда влияет на комфорт проживания. Если я правильно понял—вы ищете готовую к заселению квартиру или готовы рассмотреть варианты с ремонтом?   
Клиент: На самом деле мне удобнее сразу заехать без лишних забот… Но такая квартира выходит за пределы моего бюджета.    
Менеджер: Чисто для понимания вашей ситуации — какова ваша максимальная цена при этом условии? Мне кажется есть возможность подыскать более подходящие предложения в пределах вашего бюджета...   
Клиент: У меня около 5 миллионов рублей максимум можно выделить на покупку квартиры…    
Менеджер: Хорошо понимаю ваш лимит! Есть одна квартира по адресу Ленина 12 площадью 70 м² всего за 4 миллиона рублей — но там немного нужно доработать интерьер в ванной комнате и сделать косметический ремонт стен...     
Клиент: Это звучит неплохо, но если уж делать этот ремонт – нужен какой-то коэффициэнт скидки от цены из-за дополнительных расходов…   
Менеджер : Да-да конечно вы правы! Я уточню у собственника насчёт возможности скидки хотя бы процентов так десять от общей стоимости…

",Работа с возражениями,2,2,3,5,3,,,,,нужен ремонт,,,,LAER метод,,,просит скидку
"Менеджер: Здравствуйте! Рады вас видеть на показе нашего таунхауса. Он действительно очень уютный и современный. Вы готовы его посмотреть?

Клиент: Здравствуйте! Да, готов, но сразу скажу, меня беспокоит расстояние до метро. Это довольно далеко.

Менеджер: Понимаю ваше беспокойство. Хотя до станции «Солнце» нужно ехать 15 минут на автобусе, в этом районе есть множество преимуществ — тишина и зелень вокруг!

Клиент: Но это же не так удобно каждый день ездить? В Москве у всех метрополитен под боком.

Менеджер: Хороший аргумент! Однако стоит учесть, что здесь вы сможете наслаждаться комфортной жизнью без городского шума и суеты. К тому же застройщик предусмотрел хорошую транспортную доступность с новыми маршрутами.

Клиент: Ну да, звучит неплохо… А как насчет школ для детей? 

Менеджер: Отличный вопрос! В радиусе 1 км находится три школы и несколько детских садиков — все новые и с высокими рейтингами!

Клиент: Это важно... Но я всё равно сомневаюсь по поводу удаленности от метро.

Менеджер: Я понимаю ваши сомнения. Могу предложить вам рассмотреть альтернативные варианты транспорта – например каршеринг или личное авто для быстрой поездки в центр города при необходимости!

Клиент: Возможно… Если этот вариант подойдет мне по всем параметрам...",Презентация объекта,2,3,5,3,2,демонстрация преимуществ,,,таунхаус,далеко от метро,,,,,,,
"Менеджер: Добрый день! Меня зовут Алексей, я менеджер по продаже загородной недвижимости. У вас есть минутка поговорить?

Клиент: Здравствуйте, Алексей! Да, конечно. Что вы предлагаете?

Менеджер: Я хотел бы предложить вам замечательный вариант загородного дома в Подмосковье. Он площадью 150 квадратных метров на участке 10 соток и стоит всего 9 миллионов рублей.

Клиент: Интересно. А где именно расположен дом? 

Менеджер: Это недалеко от города Сергиев Посад, всего в часе езды от Москвы. Отличная экология и развитая инфраструктура!

Клиент: Звучит привлекательно… Какой срок готовности этого дома?

Менеджер: Дом уже построен и полностью готов к заселению. Мы можем организовать просмотр практически в любое время!

Клиент: Давайте тогда договоримся о встрече для просмотра.

Менеджер: Супер! Когда вам будет удобно встретиться? Могу предложить эту субботу или воскресенье.

Клиент: Воскресенье подойдет лучше всего.

Менеджер: Отлично! Записываю на воскресенье в 11 утра. Жду вас у объекта — это будет очень интересно увидеть его своими глазами!

Клиент: Спасибо, буду там!",Установление контакта,5,2,1,3,1,,,,,,настойчивый,заинтересованный,загородный дом,,,,
"Менеджер: Добрый день! Рад вас видеть на показе нашей 1-комнатной квартиры. Площадь составляет 40 квадратных метров, а цена – 4,3 миллиона рублей. Давайте я расскажу о её преимуществах.

Клиент: Здравствуйте! Спасибо за встречу. Но мне сразу видно - квартира довольно далеко от метро. Это большой минус для меня.

Менеджер: Я понимаю вашу озабоченность по поводу расстояния до метро. Однако важно отметить, что здесь очень хорошая транспортная развязка и есть несколько автобусных маршрутов, которые быстро доведут до станции всего за 10–15 минут.

Клиент: Да, но все-таки пешком долго идти... Иногда хочется просто выйти из дома и быстро добраться к метро.

Менеджер: Согласен с вами! Просто обратите внимание на то, что в этом районе много магазинов и кафе в шаговой доступности — это тоже добавляет комфорта жизни здесь!

Клиент: Возможно… Но как вы думаете, будут ли цены на недвижимость расти или падать? Я не хочу терять деньги через пару лет после покупки...

Менеджер: По прогнозам аналитиков рынка недвижимости ожидается стабильный рост цен благодаря развитию инфраструктуры района — планируется открытие новых станций метрополитена в ближайшие годы!

Клиент: Интересно… А можете рассказать подробнее о самой квартире?

Менеджер: Конечно! Квартира имеет просторную кухню-гостиную площадью почти 20 м² с панорамными окнами и балконом — светлое пространство будет радовать вас каждый день. Также предусмотрено место под гардеробную!

Клиент: Хорошо звучит! Какова общая площадь всей квартиры еще раз? 

Менеджер: Общая площадь составляет именно 40 квадратных метров — идеально для комфортного проживания одного человека или пары без детей.
",Презентация объекта,2,3,5,3,2,FAB метод,,,1-к квартира,далеко от метро,,,,,,,
"Менеджер: Добрый день! Рад вас видеть на показе этой студии. Давайте я расскажу о ее преимуществах.

Клиент: Здравствуйте! Да, давайте. Но сразу замечу, что потолки здесь слишком высокие для меня.

Менеджер: Понимаю ваше беспокойство. Высота потолков составляет 3 метра, это дает ощущение простора и позволяет хорошо зонировать пространство. Например, можно установить антресоли или создать второй уровень!

Клиент: Может быть, но мне кажется, что это будет не очень уютно жить в таком большом объеме воздуха.

Менеджер: Это действительно может быть так с точки зрения восприятия! Однако вы можете использовать различные дизайнерские приемы – например, освещение и цветовую палитру стен могут визуально снизить высоту пространства.

Клиент: Возможно… А сколько стоит эта студия?

Менеджер: Она выставлена на продажу за 5 миллионов рублей при площади 40 квадратных метров. Вполне разумная цена для такого района!

Клиент: Не знаю... Мне нужно подумать об удобстве жизни в таких условиях…

Менеджер: Конечно! Если хотите предложить какие-то изменения по дизайну интерьера или получить расчеты по затратам на отделку — мы можем взять время и обсудить ваши идеи более подробно?",Презентация объекта,2,3,5,3,2,демонстрация преимуществ,,,студия,слишком высокие потолки,,,,,,,
"Менеджер: Добрый день! Меня зовут Алексей, я менеджер по продажам загородной недвижимости. Как ваше настроение?

Клиент: Добрый день, Алексей! Все хорошо, спасибо. А что вас ко мне привело?

Менеджер: Я хотел рассказать вам о замечательных предложениях на загородные дома в вашем районе. У нас сейчас есть отличный вариант - дом площадью 150 квадратных метров всего за 6 миллионов рублей.

Клиент: Звучит интересно. А где именно находится этот дом? 

Менеджер: Он расположен в живописном месте недалеко от озера и леса, всего в 30 км от города. Идеально подходит для семейного отдыха!

Клиент: Да, это действительно заманчиво! Есть ли возможность посмотреть его на выходных?

Менеджер: Конечно! Я могу организовать показ уже в эту субботу или воскресенье — как вам удобнее?

Клиент: Воскресенье будет лучше для меня.

Менеджер: Отлично! Запишу ваш номер телефона и отправлю подтверждение встречи с адресом объекта. Вы не против? 

Клиент: Не против, можете записывать мой номер – +7 (901) 234-56-78.

Менеджер: Спасибо большое! Жду вас в воскресенье тогда и постараюсь сделать вашу встречу максимально комфортной и информативной.",Установление контакта,5,2,1,3,1,,,,,,профессиональный,заинтересованный,загородный дом,,,,
"Менеджер: Здравствуйте! Рад вас видеть в нашем офисе. Как ваше настроение сегодня?  

Клиент: Добрый день! В целом нормально, немного переживаем по поводу выбора квартиры.  

Менеджер: Понимаю, это важный шаг для вашей семьи. Какие у вас есть пожелания к новой квартире?  

Клиент: Мы хотели бы трехкомнатную квартиру не дальше 15 минут от метро и с хорошей инфраструктурой поблизости.   

Менеджер: Отлично, звучит разумно! У нас есть несколько вариантов в пределах вашего бюджета до 8 миллионов рублей. Сколько метров вы рассматриваете? 

Клиент: Нам нужно минимум 70 квадратных метров, чтобы все удобно разместились.

Менеджер: Ясно, у меня как раз есть хороший вариант на улице Ленина — трехкомнатная квартира площадью 75 м² за 7 миллионов рублей. Она находится всего в десяти минутах от станции метро и рядом с парком.

Клиент: Звучит интересно! А когда можно посмотреть эту квартиру?

Менеджер: Давайте запланируем просмотр на выходные — например, в субботу в два часа дня подойдет вам?",Выявление потребностей,3,5,2,2,1,,,,,,,,,активное слушание,молодая семья,ипотека готова,
